title,title_en,content,content_EN,end_user (最终用户),supplier (中标单位),contract_value_RMB,created,deadline,public_unit,purchase_type,project_number
航天器AIT过程数据管理系统（二期）总装数据模块开发,Spacecraft AIT Process Data Management System (Phase II) General Data Module Development,一、采购清单可靠性/测试性/维修性二、主要内容标题：航天器AIT过程数据管理系统（二期）总装数据模块开发场次号：XJ020071500644发布时间：2020-07-25 00:30:50参与方式：非定向询价出价方式：一次性出价发布单位：北京卫星环境工程研究所最终用户：北京卫星环境工程研究所操作员：魏鹏联系人：魏鹏联系方式：XXXXXXXXXXX付款方式：验收合格付款附件：详见XXXXXX平台备注：供应商产品名称型号规格是否国产标准质量等级封装形式产品批次备注成交数量最新报价（单价）成交总价到货日期到站地点青岛森科信息技术有限公司航天器AIT过程数据管理系统（二期）总装数据模块开发见技术要求见技术要求是见技术要求1.0项500000.0元500000.0元2020-11-30北京 北京中锐识华信息科技有限公司航天器AIT过程数据管理系统（二期）总装数据模块开发见技术要求见技术要求是见技术要求项680000.0元元2020-09-30北京北京神舟航天软件技术有限公司航天器AIT过程数据管理系统（二期）总装数据模块开发见技术要求见技术要求是见技术要求项775000.0元元2020-10-30甲方指定地点三、响应方式有意参加本项目的企业，请与本公告截止时间之前登陆XXXXXX平台（XXXXXXXXXXX）与该项目采购人员联系。按照采购单位要求在提交截纸时间前提交询价响应文件，未按要求提交的视为无效响应。,"I. Purchase list Reliability / Test / Repair II, Main Content Title: Spacecraft AIT Process Data Management System (Phase II) General Data Module Development Square: xj020071500644 Release time: 2020-07-25 00:30:50 Participation: non-directional inquiry bidding method: disposable bid release unit: Beijing Satellite Environment Engineering Research Institute End User: Beijing Satellite Environment Engineering Research Institute Operator: Wei Peng Contact: Wei Peng Contact: XXXXXXXXXXX payment method: Acceptance qualified Payment Attachment: See XXXXXX platform note: Supplier product name model specifications China-style standard quality grade package form product batch Remarks Transaction quantity latest offer (single price) total delivery Date to station Location Qingdao Sony Science Information Technology Co., Ltd. AIT Process Data Management System (Phase II) General Data Module Development See Technical Requirements See Technical Requirements It is to see technical requirements 1.0 items 500000.0 yuan 500000.0 yuan 2020-11-30 Beijing Beijing Zhong Rihua Information Technology Co., Ltd. Spacecraft AIT process data Management System (Phase II) General Data Module Development See Technical Requirements See Technical Requirements It is to see technical requirements Item 680000.0 yuan 2020-09-30 Beijing Beijing Shenzhou Space Technology Co., Ltd. Spacecraft AIT Process Data Management System (Phase II) Press Data The technical requirements for module development include technical requirements are the technical requirements of the item 775000.0 yuan, 2020-10-30 Party A designated place, the response method is intentionally participated in the project, please log in to the XXXXXXXXXXXXX in the deadline for this announcement. The project procurement personnel are contacted. According to the procurement unit, submit the inquiry response file before submitting the trip time, and will not be subject to invalid response as required.",北京卫星环境工程研究所,青岛森科信息技术有限公司,500000,7/27/2020 8:50:24,8/1/2020 0:00:00,中国航天科技集团有限公司,中标公告,HTXJ020071500644
天地资源虚拟化、服务化模型、算法,"Tiandi resource virtualization, service model, algorithm",一、采购清单可靠性/测试性/维修性二、主要内容标题：天地资源虚拟化、服务化模型、算法场次号：XJ020091400643发布时间：2020-09-21 15:02:18参与方式：非定向询价出价方式：一次性出价发布单位：航天恒星科技有限公司最终用户：航天恒星科技有限公司操作员：宋楠联系人：赵旭联系方式：XXXXXXXXXXX付款方式：验收合格付款附件：详见XXXXXX平台备注：供应商产品名称型号规格是否国产标准质量等级封装形式产品批次备注成交数量最新报价（单价）成交总价到货日期到站地点西安中科天塔科技股份有限公司天地资源虚拟化、服务化模型、算法无无是详见任务书1.0套538000.0元538000.0元2020-09-30503 三、响应方式有意参加本项目的企业，请与本公告截止时间之前登陆XXXXXX平台（XXXXXXXXXXX）与该项目采购人员联系。按照采购单位要求在提交截纸时间前提交询价响应文件，未按要求提交的视为无效响应。,"I. Purchase list Reliability / Test / Repair II, Main Content Title: Tianshi Resource Virtualization, Service Model, Algorithm Match: XJ020091400643 Published: 2020-09-21 15:02:18 Participation: Non-directional Inquiry Bid mode: disposable bid release unit: aerospace stars Technology Co., Ltd. End users: Space Hengxing Technology Co., Ltd. Operator: Song Nan Contact: Zhao XXXXXXXXX 付款 Payment method: Acceptance Qualified Payment Accessories: See xxxxx 平 platform Remarks: Supplier Product Name Model Specifications Dome Domestic Standard Quality Level Package Form Product Batch Remarks Transaction Quantity Latest Offer (Price) True Price Free Date to Station Location Xi'an Zhongke Tower Tower Technology Co., Ltd. Tiandi Resources Virtualization, Service Model, algorithm is not detailed in the task book 1.0 set 538000.0 yuan 538000.0 yuan 2020-09-30503 Three, the response method is intentionally participated in the project, please log in to the XXXXXXXXXXXXXX in the deadline of this announcement (xxxxxxxxxx) Purchase with the project Personnel contact. According to the procurement unit, submit the inquiry response file before submitting the trip time, and will not be subject to invalid response as required.",航天恒星科技有限公司,西安中科天塔科技股份有限公司,538000,9/21/2020 15:24:16,9/28/2020 0:00:00,中国航天科技集团有限公司,中标公告,HTXJ020091400643
天地资源虚拟化、服务化模型、算法,"Tiandi resource virtualization, service model, algorithm",一、采购清单可靠性/测试性/维修性二、主要内容标题：天地资源虚拟化、服务化模型、算法场次号：XJ020101600576发布时间：2020-10-26 09:35:23参与方式：非定向询价出价方式：一次性出价发布单位：航天恒星科技有限公司最终用户：航天恒星科技有限公司操作员：宋楠联系人：赵旭联系方式：XXXXXXXXXXX付款方式：验收合格付款附件：详见XXXXXX平台备注：供应商产品名称型号规格是否国产标准质量等级封装形式产品批次备注成交数量最新报价（单价）成交总价到货日期到站地点西安中科天塔科技股份有限公司天地资源虚拟化、服务化模型、算法无无是详见任务书1.0套538000.0元538000.0元2020-10-31北京 时光漫步（北京）科技有限公司天地资源虚拟化、服务化模型、算法无无是详见任务书套550000.0元元2020-12-31公司三、响应方式有意参加本项目的企业，请与本公告截止时间之前登陆XXXXXX平台（XXXXXXXXXXX）与该项目采购人员联系。按照采购单位要求在提交截纸时间前提交询价响应文件，未按要求提交的视为无效响应。,"I. Purchase list Reliability / Testability / Maintenance II, Main content Title: Tianshi resources virtualization, service model, calculation method, number: xj020101600576 Published: 2020-10-26 09:35:23 Participation mode: non-directional Inquiry Bid mode: disposable bid release unit: aerospace stars Technology Co., Ltd. End users: Space Hengxing Technology Co., Ltd. Operator: Song Nan Contact: Zhao XXXXXXXXX 付款 Payment method: Acceptance Qualified Payment Accessories: See xxxxx 平 platform Remarks: Supplier Product Name Model Specifications Dome Domestic Standard Quality Level Package Form Product Batch Remarks Transaction Quantity Latest Offer (Price) True Price Free Date to Station Location Xi'an Zhongke Tower Tower Technology Co., Ltd. Tiandi Resources Virtualization, Service The model, the algorithm is not detailed, the task book is 1.0 sets 538000.0 yuan 538000.0 yuan 2020-10-31 Beijing Time Stroller (Beijing) Technology Co., Ltd. Tianshi resources virtualization, service model, algorithm is not detailed, see the task book cover 550000.0 The company III 2020-12-31 Company, the response method is intentionally participating in the project, please contact the item procurement person before the deadline of this announcement. According to the procurement unit, submit the inquiry response file before submitting the trip time, and will not be subject to invalid response as required.",航天恒星科技有限公司,西安中科天塔科技股份有限公司,538000,10/26/2020 13:35:14,11/2/2020 0:00:00,中国航天科技集团有限公司,中标公告,HTXJ020101600576
管道机器人视觉检测及识别系统开发,Pipeline robot visual inspection and identification system development,一、采购清单可靠性/测试性/维修性二、主要内容标题：管道机器人视觉检测及识别系统开发场次号：XJ020082500186发布时间：2020-09-02 18:41:10参与方式：非定向询价出价方式：多次性出价发布单位：上海宇航系统工程研究所最终用户：上海宇航系统工程研究所操作员：高鹏联系人：沈征辉联系方式：XXXXXXXXXXX付款方式：附件：详见XXXXXX平台备注：技术要求等内容询问联系人供应商产品名称型号规格是否国产标准质量等级封装形式产品批次备注成交数量最新报价（单价）成交总价到货日期到站地点北京航空航天大学青岛研究院管道机器人视觉检测及识别系统开发--是-1.0套561000.0元561000.0元2021-03-31甲方单位所在地三、响应方式有意参加本项目的企业，请与本公告截止时间之前登陆XXXXXX平台（XXXXXXXXXXX）与该项目采购人员联系。按照采购单位要求在提交截纸时间前提交询价响应文件，未按要求提交的视为无效响应。,"I. Reliability / test / maintenance sexy 2, main content title: pipeline robot visual inspection and identification system development site: xj020082500186 Published: 2020-09-02 18:41:10 Participation: non-directional inquiry Bid mode: Multiple Bid Publishing Unit: Shanghai Aerospace System Engineering Research Institute end users: Shanghai Aerospace System Engineering Research Institute Operator: Gao Peng Contact: XXXXXXXXXXXXX x 方式: Attachment: See XXXXXX Web Remarks: Technical Requirements Waiting for the contact supplier product name model specification Domestic standard quality level package form product batch Remarks Transaction quantity latest offer (single price) Transaction total arrival date to station location Beijing University of Aeronautics and Astronautics Qingdao Research Institute pipeline robot visual inspection and Identification system development - is -1.0 set 561000.0 yuan 561000.0 yuan 2021-03-31 Party A units of the third, responsive ways to participate in this project, please log in to the XXXXXXXXXXXXX in the deadline for this announcement (xxxxxxxxxx) Purchase with the project Personnel contact. According to the procurement unit, submit the inquiry response file before submitting the trip time, and will not be subject to invalid response as required.",上海宇航系统工程研究所,北京航空航天大学,561000,9/3/2020 9:43:06,9/9/2020 0:00:00,中国航天科技集团有限公司,中标公告,HTXJ020082500186
无人机多特征测试及典型信号特征研究项目中标公告,Unmanned multi-character test and typical signal characteristics research project winning announcement,"一、项目概要中招国际招标有限公司受某单位委托，依据《中国人民解放军装备采购条例》、《中国人民解放军装备采购方式与程序管理规定》、《中国人民解放军竞争性装备采购管理规定》、《中华人民共和国招标投标法》、《中华人民共和国招标投标法实施条例》、《中华人民共和国合同法》等有关法律法规要求，现将中标结果公示如下：二、主要内容1.  项目名称：无人机多特征测试及典型信号特征研究项目2.  招标编号：TC200F07D/063.  项目预算金额（招标项目最高投标限价）：人民币60万元4.  资金来源：资金已落实。5.  本项目已经某单位批准建设。6.  评标结果：排名第一：北京理工大学，投标报价：590,000.00元人民币；排名第二：中国科学院空天信息创新研究院，投标报价：598,900.00元人民币。评标委员会推荐排名第一的中标候选人作为中标人。评标结果公示期为7个工作日，如有异议，可以在公示时间内以书面形式向招标代理机构提出质疑，逾期将不再受理。质疑函（加盖投标人公章）应包括下列内容：（一）投标人的姓名或者名称、地址、邮编、联系人及联系电话；（二）质疑项目的名称、编号；（三）具体、明确的质疑事项和与质疑事项相关的请求；（四）事实依据；（五）必要的法律依据；（六）提出质疑的日期。5、招标人信息招标人：某单位联系人：--电话：--6、招标代理机构信息招标代理机构：中招国际招标有限公司地  址：北京市海淀区学院 62号中关村资本大厦601A联系人：李振、夏冬电  话：XXXXXXXXXXX、XXXXXXXXXXX邮  箱：XXXXXXXXXXX","I. Project Summary, Zhao International Tendering Co., Ltd. is entrusted by a unit, according to the ""Regulations on Equipment Procurement Procurement of the Chinese People's People's Liberation Army"", ""Regulations on the Administration of China People's Liberation Army"", ""Regulations on Competitive Equipment Procurement of China People's Liberation Army"", ""The People's Republic of China Bidding Law"", ""Regulations on the Implementation of the People's Republic of China Bidding Law"", ""The Contract Law of the People's Republic of China"", etc. Human multi-character testing and typical signal characteristics research project 2. Tendering number: TC200F07D / 063. Project budget amount (the highest bidding price of bidding project): RMB 600,000 4. Source: funds have been implemented. 5. This project has been approved by a certain unit. 6. Bid evaluation results: ranking first: Beijing University of Technology, bidding offer: 590,000 yuan; ranking second: Jane Information Innovation Research Institute of Chinese Academy of Sciences, bid quotes: 598,900.00 yuan. The bid evaluation committee recommended the first winning candidate as a winning bid. The bid evaluation results are scheduled for 7 working days. If there is any objection, it can be questioned in writing to the bidding agency in a written form, and will no longer be accepted within the time limit. Question letter (stamped) should include the following: (1) The name or name, address, zip code, contact and contact number of the bidder; (2) Questioning the name, number; (3) specific, clear Questioning matters and requests related to questioning; (4) factual basis; (5) The necessary legal basis; (6) Submit date. 5, tendere information tenderer: one unit contact: - Tel: - 6, bidding agency information tendering agency: Zhongzhao International Tendering Co., Ltd. Address: 601A, Zhongguancun Capital Building, No. 62, Haidian District, Beijing People: Li Zhen, Summer and Tel: xxxxxxxxxx, xxxxxxxxxx Mail: xxxxxxxxxx",某单位,北京理工大学,590000,11/30/2020 17:56:04,12/9/2020 0:00:00,海军,中标公告,TC200F07D/06
怀柔园区武警“智慧磐石“工程建设,"Huairou Park Armed Police ""Wisdom Rock"" Project Construction",一、采购清单可靠性/测试性/维修性二、主要内容标题：怀柔园区武警“智慧磐石“工程建设场次号：XJ020060800429发布时间：2020-06-18 09:30:47参与方式：非定向询价出价方式：一次性出价发布单位：北京卫星环境工程研究所最终用户：北京卫星环境工程研究所操作员：尹大勇联系人：尹大勇联系方式：XXXXXXXXXXX付款方式：验收合格付款附件：详见XXXXXX平台备注：供应商产品名称型号规格是否国产标准质量等级封装形式产品批次备注成交数量最新报价（单价）成交总价到货日期到站地点北京航天信远科技有限责任公司怀柔园区武警“智慧磐石“工程建设见附件见附件是见附件1.0套598626.0元598626.0元2020-06-30甲方指定地点 北京多研硅谷科技发展有限公司怀柔园区武警“智慧磐石“工程建设见附件见附件是见附件套677446.0元元2020-07-31北京北京国信晟通科技发展有限公司怀柔园区武警“智慧磐石“工程建设见附件见附件是见附件套724300.0元元2020-08-07北京卫星环境工程研究所三、响应方式有意参加本项目的企业，请与本公告截止时间之前登陆XXXXXX平台（XXXXXXXXXXX）与该项目采购人员联系。按照采购单位要求在提交截纸时间前提交询价响应文件，未按要求提交的视为无效响应。,"I. Purchase list reliability / test / maintenance, main content title: Huairou Park Armed Police ""Wisdom Rock"" project construction site: xj020060800429 Published: 2020-06-18 09:30:47 Participation mode: non-specific Price Price: One-time bid release unit: Beijing Satellite Environment Engineering Research Institute End User: Beijing Satellite Environment Engineering Research Institute Operator: Yin Dawei Contact: Yin Dawei Contact: XXXXXXXXXXXXX payment method: Acceptance Qualified Payment Accessories: See xxxxxx Platform Remarks: Supplier Product Name Model Specifications Domestic Standard Quality Level Package Form Product Batch Remarks Transaction Quantity Latest Offer (Price) True Price Free Date to Station Location Beijing Aerospace Xinyi Technology Co., Ltd. Huairou Park Armed Police ""Wisdom Rock"" ""See attachment of the project construction, see attachment is to see annex 1.0 sets of 598626.0 yuan 598626.0 yuan 2020-06-30 Party A designated location Beijing multi-research Silicon Valley Technology Development Co., Ltd. Huairou Park"" Wisdom Rock ""project construction See annex to see annex is to see attachment set 677446.0 yuan 2020-07-31 Beijing Beijing Guoxin Technology Development Co., Ltd. Huairou Park Armed Police ""Wisdom Rock"" Project Construction See Annex See Annex is to see attachment cover 724300.0 yuan 2020-08-07 Beijing Satellite Environment Engineering Research Institute, In response, please contact the XXXXXXXXXXXXXXXX XXXXXXXXXX in response to the company. According to the procurement unit, submit the inquiry response file before submitting the trip time, and will not be subject to invalid response as required.",北京卫星环境工程研究所,北京航天信远科技有限责任公司,598626,2020-06-19 15:32:00 UTC,2020-06-25,中国航天科技集团有限公司,中标公告,HTXJ020060800429
低慢小目标智能通用光电感知模块设备,Low small smart target intelligent universal photomologically sensing module equipment,"受某单位的委托，中招国际招标有限公司组织完成了低慢小目标智能通用光电感知模块设备招标工作，经评审委员会评定，确定了中标候选人排序如下：第一中标候选人：北京中科研究院投标报价（元）：600,000.00第二中标候选人：中科瑞图（北京）信息科技有限公司投标报价（元）：600,000.00第三中标候选人：北京工易网科技有限公司投标报价（元）：600,000.00按照招标文件的相关要求，确定排名第一的投标人为招标项目中标人。公示有效期为7个工作日，对以上结果如有异议，可在公示期内提出，逾期将不再受理。招标代理机构：中招国际招标有限公司地址：中国北京市海淀区学院南路62号，中关村资本大厦6层联系人：王经理电话：XXXXXXXXXXX传真：XXXXXXXXXXX电子邮箱：XXXXXXXXXXX","Strive to be the commission of a unit, China Zhao International Tendering Co., Ltd. has completed the tendering work of low-small target intelligent general-purpose photomologically sensing module. After assessing the review committee, the winning candidate is determined as follows: First winning candidate: Beijing Zhongke Research Institute bid quotation (yuan): 600,000.00 Second winning candidate: Zhongke Rui map (Beijing) Information Technology Co., Ltd. bid quotes (yuan): 600,000.00 Third winning candidate: Beijing Tangyi.com Technology Co., Ltd. bid quotation (yuan) : 600,000.00 According to the relevant requirements of the bidding documents, it is determined that the bidder ranked first bid for the bidding project. The publicity is valid for 7 working days. If there is any objection to the above results, it can be proposed during the publicity period, and will not be accepted within the time limit. Tendering agency: Zhongzhao International Tendering Co., Ltd. Address: 62 South Road, Haidian District, Haidian District, Beijing",某单位,北京中科研究院,600000,5/25/2020 17:25:28,5/29/2020 0:00:00,jd,中标公告,
无人蜂群仿真与演示验证系统,Unmanned Squam Simulation and Demonstration Verification System,一、项目概要无人蜂群仿真与演示验证系统询价采购中标结果公示。二、主要内容1、项目名称：无人蜂群仿真与演示验证系统询价采购项目2、项目编号：ZBSC-2020-2083、中标情况：本项目于2020年9月18日组织开展询价采购工作，经现场拆封报价文件和技术符合性审查，珠海天晴航空航天科技有限公司、湖南智领通信科技有限公司、北京泊松技术有限公司均符合询价文件要求，最后北京泊松技术有限公司以61.5万元中标。4、公示时间：2020年09月18日-2020年09月23日5、异义反馈方式：如有异议，请致电联系人。6、联系方式：联 系 人：盖先生                    电    话：XXXXXXXXXXX地    址：北京市大兴区,"1. Project Summary Universal Bee Colony Simulation and Demonstration Verification System Inquiry Purchasing Subscription Results. Second, the main content 1 Work, resolved quotation documents and technical compliance review, Zhuhai Tianqing Air Space Technology Co., Ltd., Hunan Zhizhi Communication Technology Co., Ltd., Beijing Poisson Technology Co., Ltd. is in line with the requirements of the inquiry document, and finally Beijing Poisson technology is limited The company won the bid 615,000 yuan. 4, publicity time: September 18, 2020, September 23, 2020 5, heroy feedback mode: If there is any objection, please call the contact. 6, Contact: Contact: Cover Tel: xxxxxxxxxx Address: Daxing District, Beijing",..,珠海天晴航空航天科技有限公司,615000,2020-09-18 17:01:23 UTC,2020-09-23,战略支援部队,中标公告,ZBSC-2020-208
某型便携式装备入网作战信息支援系统、某型装备维修智能导引系统采购项目,"A type portable equipment network combat information support system, a model repair intelligent guidance system procurement project","某型便携式装备入网作战信息支援系统、某型装备维修智能导引系统购公开招标中标公示 我单位就某型便携式装备入网作战信息支援系统、某型装备维修智能导引系统采购进行公开招标，现将本次评审结果公示如下：1、项目名称：某型便携式装备入网作战信息支援系统、某型装备维修智能导引系统采购项目2、项目编号：0701-204010050333/01、023、公示时间：2020年08月26日至09月02日4、评审结果：01包：排名顺序投标人投标价格（人民币）第一名西安腾谦电子科技有限公司643,000.00第二名北京中航科电测控技术股份有限公司644,000.00第三名北京关键科技股份有限公司647,000.00 02包：排名顺序投标人投标价格（人民币）第一名西安腾谦电子科技有限公司563,000.00第二名北京中航科电测控技术股份有限公司564,000.00第三名北京关键科技股份有限公司567,000.00根据评审委员会提出的评审报告和推荐的中标候选人情况，以及招标文件中规定的原则和方法，01包推荐排序第一位的投标人：西安腾谦电子科技有限公司为中标候选人；02包推荐排序第一位的投标人：西安腾谦电子科技有限公司为中标候选人如相关投标人对结果有异议，可在公示期内，以书面形式向招标代理机构提出质疑，招标代理机构将在10个工作日内做出书面答复。对积极参与本次采购活动的投标人深表感谢，希望今后继续保持合作。5、招标代理机构：中技国际招标有限公司联 系 人：马新峰电    话：XXXXXXXXXXX","A certain portable equipment network combat information support system, a type of equipment maintenance intelligent guidance system purchase public bidding bidding publicity I am in a certain portable equipment network combat information support system, a certain type of equipment maintenance intelligent guidance system procurement conducts public bidding, now The results of this review are as follows: 1. Project Name: Some portable equipment network combat information support system, a type of equipment maintenance intelligent guidance system procurement item 2, project number: 0701-204010050333 / 01, 023, publicity time: 2020 August 26th to September 02, 4, review Results: 01 Package: Ranking sequential bidders bid price (RMB) First Xi'an Teng Qian Electronic Technology Co., Ltd. 643,000 Second Beijing China Aericulture Electric Power Strolling Technology Co., Ltd. 644,000.00 Third place Beijing Key Technology Co., Ltd. 647,000.00 02 Package: Ranking Sequential bidder bidding price (RMB) First Xi'an Tengqian Electronic Technology Co., Ltd. 563,000 2 Beijing Zhongyer Electric Testing Technology Co., Ltd. 564,000-00 third place Beijing Key Technology Co., Ltd. 567,000.00 According to the review report and recommended winning candidate proposed by the review committee, as well as the principles and methods specified in the bidding documents, 01 packs recommended to sort the first bidder: Xi'an Tengqian Electronic Technology Co., Ltd. For the bidder candidate; 02 package recommended to sort the first bidder: Xi'an Tengqian Electronic Technology Co., Ltd. has a disagreement for the winning candidate, such as the relevant bidders, can be present in the publicity period, in writing Question, the bidding agency will make a written reply within 10 working days. I would like to thank the bidders actively participate in this procurement activity, I hope to keep working in the future. 5, tendering agency: Zhongchong International Tendering Co., Ltd. Contact: Ma Xinfeng Tel: XXXXXXXXXXX",..,西安腾谦电子科技有限公司,643000,8/26/2020 16:34:48,9/2/2020 0:00:00,空军,中标公告,
基于深度学习的电子情报个体识别平台系统,Electronic intelligence individual identification platform system based on deep learning,"基于深度学习的电子情报个体识别平台系统评标结果公示 招标编号：0747-2066SCCHB201项目名称：基于深度学习的电子情报个体识别平台系统招标人名称：中国人民解放军某部招标代理机构名称：中化商务有限公司开标时间：2020年10月22日9:30（北京时间） 经评标委员会评议，评标结果如下：1. 南京电子设备研究所，投标报价¥650,000.00 ，排名第一；2. 陕西航天技术应用研究院有限公司，投标报价¥659,000.00，排名第二；3. 北京国遥新天地信息技术有限公司，投标报价¥660,000.00 ，排名第三。 评标委员会推荐排名第一的中标候选人作为中标人。评标结果公示期为7个工作日，各有关当事人如有异议，可以在公示时间内，以书面形式向招标代理机构提出质疑，逾期将不再受理。质疑函（加盖投标人公章）应包括下列内容：（一）投标人的姓名或者名称、地址、邮编、联系人及联系电话；（二）质疑项目的名称、编号；（三）具体、明确的质疑事项和与质疑事项相关的请求；（四）事实依据；（五）必要的法律依据；（六）提出质疑的日期。公示开始时间：2020年10月26日公示截止时间：2020年11月4日 招标代理机构全称：中化商务有限公司招标代理机构地址：湖北省武汉市江汉区淮海路泛海国际SOHO城3栋1906室联系人：苏雅杰、李睿电话：XXXXXXXXXXX、XXXXXXXXXXX电子信箱：XXXXXXXXXXX、XXXXXXXXXXX","Based on deep learning electronic intelligence individual identification platform system bid evaluation results Public reference Tender No .: 0747-2066SCCHB201 Project Name: Deep learning electronic intelligence individual identification platform system tenderee name: China People's Liberation Army a bidding agency Name: Sinochem Comment Ltd. Opening time: October 22, 2020 (Beijing time) Economic standard board review, bid evaluation results are as follows: 1. Nanjing Electronic Equipment Research Institute, bid quotes ¥ 650,000, ranking first; 2. Shaanxi Space Technology Application Research Institute Co., Ltd., bidding offer ¥ 659,000, ranking second; 3. Beijing Guoyao New Tiandi Information Technology Co., Ltd., bidding offer ¥ 660,000, ranking third. The bid evaluation committee recommended the first winning candidate as a winning bid. The bid evaluation results are the 7 working days. If there are any objections, the parties can be questioned in writing to the bidding agency in a written form, and will no longer be accepted within the time limit. Question letter (stamped) should include the following: (1) The name or name, address, zip code, contact and contact number of the bidder; (2) Questioning the name, number; (3) specific, clear Questioning matters and requests related to questioning; (4) factual basis; (5) The necessary legal basis; (6) Submit date. Public notice start time: October 26, 2020 Publication deadline: November 4th, 2020, tendering agency Room 1906 Contact: Su Jay, Li Rui Phone: xxxxxxxxxxx, xxxxxxxxxx electronic mailbox: xxxxxxxxxx, xxxxxxxxxx",中国人民解放军某部,南京电子设备研究所,650000,2020-10-26 17:45:14 UTC,2020-11-04,海军,中标公告,0747-2066SCCHB201
基于多源信息处理的智能场景技术研究,Research on Intelligent Scene Technology Based on Multi - source Information Processing,一、采购清单可靠性/测试性/维修性二、主要内容标题：基于多源信息处理的智能场景技术研究场次号：XJ020040300234发布时间：2020-05-12 13:16:25参与方式：非定向询价出价方式：一次性出价发布单位：五院通信卫星事业部最终用户：五院通信卫星事业部操作员：蒋文婷联系人：王经理联系方式：XXXXXXXXXXX付款方式：附件：详见XXXXXX平台备注：具体技术要求请咨询联系人。 询价周期不少于60天，报价之前与我方人员联系，否则报价无效。供应商产品名称型号规格是否国产标准质量等级封装形式产品批次备注成交数量最新报价（单价）成交总价到货日期到站地点西安电子科技大学基于多源信息处理的智能场景技术研究不涉及不涉及是不涉及1.0套680000.0元680000.0元2020-12-31北京  西安石油大学基于多源信息处理的智能场景技术研究不涉及不涉及是不涉及套720000.0元元2020-12-31北京西安邮电大学基于多源信息处理的智能场景技术研究不涉及不涉及是不涉及套750000.0元元2020-12-31北京三、响应方式有意参加本项目的企业，请与本公告截止时间之前登陆XXXXXX平台（XXXXXXXXXXX）与该项目采购人员联系。按照采购单位要求在提交截纸时间前提交询价响应文件，未按要求提交的视为无效响应。,"I. Purchase list Reliability / Test / Repair II, Main Content Title: Intelligent Scene Technology Research Based on Multi-source Information Processing Session: xj020040300234 Release time: 2020-05-12 13:16:25 Participation: Non-directional Inquiry bidding method: one-time bid release unit: Five Hospital Communication Satellite Division End users: Five Hospital Communication Satellite Division Operators: Jiang Wenting Contact: XXXXXXXXXXXX 付款 Payment Method: Attachment: See xxxxx platform Note: Specific technical requirements, please consult your contact. Inquiry cycles are not less than 60 days, contact us before the quote, otherwise the offer is invalid. Supplier Product Name Model Specifications Dome Domestic Standard Quality Level Package Product Batch Remarks Transaction Quantity Latest Quote (Price) Tarning Total Express Date to Station Location Xi'an Electronic Science and Technology Smart Scene Technology Research Not involved It is involved in 1.0 sets of 680000.0 yuan 680000.0 yuan 2020-12-31 Beijing Xi'an Petroleum University, the intelligent scene technology study based on multi-source information is not involved, does not involve the cover 720000.0 yuan 2020-12-31 Beijing Xi'an University of Posts and Telecommunications Based on The intelligent scene technology study of multi-source information processing does not involve not involving no cover 750000.0 yuan 2020-12-31 Beijing III, the response method intends to participate in the project, please log in to the XXXXXXXX 平 before the deadline of this announcement (XXXXXXXXXXX) Contact this project procurement person. According to the procurement unit, submit the inquiry response file before submitting the trip time, and will not be subject to invalid response as required.",五院通信卫星事业部,西安电子科技大学,680000,5/12/2020 17:14:20,5/19/2020 0:00:00,中国航天科技集团有限公司,中标公告,HTXJ020040300234
